"is not available. You still can process offline actions.," no está disponible. Todavía puede procesar acciones fuera de línea."
"--Please Select--,"--Por favor Seleccione--"
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface,"La clase %1 no implementa \ Magento \ Payment \ Model \ MethodInterface"
"%1 class doesn\'t implement \Magento\Payment\Model\MethodInterface,"La clase %1 no implementa \Magento \Payment \Model \MethodInterface"
"All Allowed Countries,"Todos los países permitidos"
"American Express,"American Express"
"An error occurred on the server. Please try to place the order again.,"Se produjo un error en el servidor. Intenta realizar el pedido nuevamente."
"Card Verification Number,"Verificación de la tarjeta de crédito"
"Card Verification Number Visual Reference,"Número de verificación de tarjeta de referencia visual"
"Command %1 does not exist.,"El comando %1 no existe."
"Command Executor for %1 is not defined.,"El comando ejecutor para %1 no está definido."
"Credit Card Information,"Información de tarjeta de crédito"
"Credit Card Number,"Número de la tarjeta de crédito"
"Credit Card Type,"Tipo de la tarjeta de crédito"
"Discount,"Descuento"
"Edit Your Cart,"Editar carrito"
"Expiration Date,"Fecha de vencimiento"
"Failure #1,"Fallo #1"
"Failure #2,"Fallos #2"
"Forgot an Item?,"¿Ha olvidado un elemento?"
"Incorrect credit card expiration month.,"Mes de vencimiento incorrecto de la tarjeta de crédito."
"Incorrect credit card expiration year.,"Año de vencimiento incorrecto de la tarjeta de crédito."
"Invalid Credit Card Number,"El número de tarjeta es inválido"
"is not available. You still can process offline actions.,"no está disponible. Usted puede continuar fuera de línea."
"Issue Number,"Número de emisión"
"Month,"Mes"
"N/A,"No disponible"
"No,"No"
"Payment method,"Método de pago"
"Payment Methods,"Forma de pago"
"Payment Methods Section,"Sección de métodos de pago"
"Payment Services,"Servicios de pago"
"Place Order,"Orden del lugar"
"Please enter a valid credit card expiration date.,""Por favor, introduzca una fecha de caducidad de tarjeta de crédito que está válida."
"Please enter a valid credit card number.,""Por favor, introduzca un número de tarjeta de crédito válida."
"Please enter a valid credit card type number.,"Ingrese un número de tipo de tarjeta de crédito válido."
"Please enter a valid credit card verification number.,""Por favor, introduzca el número de verificación de tarjeta válido."
"Please provide payment for the order.,"Por favor proporcione el pago de la orden."
"Please Select,"Por favor, seleccione"
"Shipping,"Envío"
"Specific Countries,"Especifique países"
"Start Date,"Fecha de inicio"
"Switch/Solo/Maestro Issue Number,"Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Only,"Interruptor /Solo/Maestro solamente"
"Switch/Solo/Maestro Start Date,"Fecha de inicio de Switch/Solo/Maestro"
"The %1 command doesn't exist. Verify the command and try again.",""El comando %1 no existe. Verifique el comando y vuelva a intentarlo."
"The %1 command executor isn't defined. Verify the executor and try again.",""El ejecutor de comando %1 no está definido. Verifica el ejecutor y vuelve a intentarlo."
"The authorize action is not available.,"Realizar autorización no está disponible."
"The capture action is not available.,"Realizar captura no está disponible."
"The credit card number doesn't match the credit card type.,"El Número de la tarjeta de crédito no corresponde al tipo de la tarjeta."
"The credit card number doesn\'t match the credit card type.,"El número de tarjeta de crédito no coincide con el tipo de tarjeta de crédito."
"The gateway response format was incorrect. Verify the format and try again.,"El formato de respuesta de la puerta de enlace era incorrecto. Verifique el formato y vuelva a intentarlo."
"The order action is not available.,"Realizar pedido no está disponible."
"The payment disallows storing objects.,"El pago no permite almacenar objetos."
"The payment method you requested is not available.,"La forma de pago solicitada no está disponible."
"The payment review action is unavailable.,"La acción de revisión de pago no está disponible."
"The refund action is not available.,"Realizar devuelto no está disponible."
"The validator for the %1 field doesn't exist.",""El validador para el campo "%1" no existe.""
"The void action is not available.,"Realizar anulación no está disponible."
"This credit card type is not allowed for this payment method.,"Este tipo de tarjeta no se acepta para este método de pago."
"Transaction has been declined. Please try again later.,"La operación ha sido rechazada. Por favor Inténtalo más tarde."
"Unable to place order. Please try again later.,"No ha sido posible crear el pedido. Por favor inténtalo de nuevo más tarde."
"Validator for field %1 does not exist.,"Validador de campo %1 no existe."
"Visa,"Visa"
"We cannot retrieve the payment info model object.,"No se puede recuperar el objeto con la información del pago."
"We cannot retrieve the payment information object instance.,"No se puede encontrar la instancia del objeto de la información de pago."
"We cannot retrieve the payment method code.,"No se puede encontrar el código del método de pago."
"We cannot retrieve the payment method model object.,"No se puede recuperar el objeto del método de pago."
"We cannot retrieve the transparent payment method model object.,"No se puede recuperar el objeto del método de pago transparente."
"We'll ask for your payment details before you place an order.,"Te pediremos pedir los datos de pago antes de hacer un pedido."
"We\'ll ask for your payment details before you place an order.,"Pediremos sus detalles del pago antes de que usted ponga una orden."
"What is this?,"¿Qué es esto?"
"Wrong gateway response format.,"Formato de la respuesta de la pasarela incorrecto."
"Year,"Año"
"Yes,"Si"
"You can't use the payment type you selected to make payments to the billing country.,"No se puede utilizar el método de pago seleccionado para hacer pagos en el país de facturación introducido."
"You can\'t use the payment type you selected to make payments to the billing country.,"No puede utilizar el tipo de pago seleccionado para realizar pagos al país de facturación."
